province,name,age,circum,height,latlong,details
ลพบุรี,49. กลุ่มต้นจำปีสิรินธร,ไม่ระบุ,ไม่ระบุ,20-30 เมตร,"15.052968, 101.240644","ต้นจำปีสิรินธร เป็น ๑ ใน ๑๗ ชนิดของไม้ในวงศ์จำปา ที่พบแห่งเดียวในโลกที่ป่าพลุชุมชน ต.ซับจำปา จังหวัดลพบุรี ลำต้นสูงประมาณ ๒๐ – ๓๐ ม. ใบใหญ่กว่าจำปีทั่วไป มีกลิ่นฉุนเฉพาะตัว ดอกสีขาวนวล มีกลีบดอก ๑๒-๑๔ กลีบ มีจำนวนประมาณ ๑๐๐ ต้น ในเนื้อที่ประมาณ ๘๙ ไร่  
 ข้อมูลจากโครงการอนุรักษ์พันธุกรรมพืชอันเนื่องมาจากพระราชดำริ สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารีระบุว่า ค้นพบโดย ดร.ปิยะ เฉลิมกลิ่น นักวิชาการ ๑๐ สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย หนึ่งในผู้รับทุนสนับสนุนจากโครงการฯ เมื่อปีพ.ศ.๒๕๔๓ ในบริเวณพื้นที่ป่าซับจำปา (น้ำซับที่มีต้นจำปาอยู่) ต.ซับจำปา จังหวัดลพบุรี สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี พระราชทานนามว่า ""จำปีสิรินธร"" และต่อมาเป็นต้นไม้ประจำโรงเรียนนายร้อยพระจุลจอมเกล้า
ปัจจุบัน พื้นที่แห่งนี้ใช้เป็นพื้นที่ป่าชุมชนและมีการปลูกต้นไม้เพิ่มเติมตามโครงการปลูกป่าถาวรเฉลิมพระเกียรติ ซึ่งอยู่ในความดูแลของสำนักงานป่าไม้เขตสระบุรี และสำนักงานป่าไม้จังหวัดลพบุรี ร่วมกับองค์การบริหารส่วนตำบลซับจำปา พร้อมพัฒนาเป็นเส้นทางศึกษาธรรมชาติระยะทาง ๑,๐๐๐ เมตร และกิจกรรมการท่องเที่ยวเชิงนิเวศน์
"
ชลบุรี,50. พระเจ้าห้าพระองค์,ไม่ระบุ,30 เมตร,30 เมตร,"13.200435, 101.581790","ณ ป่าชุมชนบ้านเขาใหญ่ จังหวัดชลบุรี มีต้นพระเจ้าห้าพระองค์ ขนาดใหญ่ วัดขนาดเส้นรอบวงได้ ๓๐ เมตร และความสูง ๓๐ เมตร แตกพูพอนเป็นปีกกว้างสูงกว่า ๒ เมตรค้ำโคนต้นดูมั่นคงสง่างาม ยอดแตกพุ่มกว้าง ร่มรื่น กรมป่าไม้จัดให้เป็นต้นไม้ที่ใหญ่ที่สุดในภาคตะวันออก 
 ข้อมูลจากกรมอุทยานแห่งชาติ ฯ ระบุว่าต้นพระเจ้าห้าพระองค์ถูกตั้งชื่อตามลักษณะผลที่มีรูปกลมรีเล็กน้อย แบ่งเป็นพู ๕ พู แต่ละพูจะมีรูปคล้ายพระเรียงรอบผลห้าองค์ ซึ่งมีความเกี่ยวโยงกับวิถีความเชื่อ วัฒนธรรมและภูมิปัญญาท้องถิ่น เรื่อง “การกำเนิดพระพุทธเจ้าห้าพระองค์ในภัทรกัลป์” (จากนิทานพระยากาเผือก) จึงถือเป็นไม้สิริมงคล โดยมีการใช้ใบ ดอกและผลในการประกอบพิธีกรรมสำคัญต่าง ๆ ของคนโบราณ ทั้งไทย ลาว พม่า เขมรและจีน 
ปัจจุบันพื้นที่โดยรอบมีการปรับภูมิทัศน์ให้เป็นแหล่งท่องเที่ยวเชิงอนุรักษ์ของชุมชน
"
ระยอง,51. สะตือพักทัพ,300 ปี,5 เมตร,15 เมตร,"12.679480, 101.282738","ณ วัดลุ่มมหาชัยชุมพล (พระอารามหลวง)  หรือชื่อเดิม วัดลุ่ม อำเภอเมือง จังหวัดระยอง มีต้นสะตือใหญ่เก่าแก่ต้นหนึ่ง อายุได้ ๓๐๐ ปี วัดขนาดเส้นรอบวงได้ ๕ เมตร และความสูง ๑๕ เมตร เปลือกหนาแตกลายดูโบราณ ขรึมขลัง
 จากประวัติวัด วัดลุ่มตั้งขึ้นในสมัยอยุธยา เมื่อปี พ.ศ. ๒๒๓๔ และต้นสะตือต้นนี้อยู่คู่วัดมาแต่นั้น เมื่อกรุงศรีอยุธยาถูกพม่าล้อมใน พ.ศ.๒๓๑๐ สมเด็จพระเจ้าตากสินมหาราช พาทหารตีฝ่าแนวรบทหารพม่าไปทางภาคตะวันออก  และตีหัวเมืองเรื่อยมา เมื่อมาถึงเมืองระยองได้มาผูกช้างมาพักแรมที่โคนต้นสะตือใหญ่ ซึ่งเป็นบริเวณวัดลุ่มกับวัดเนินติดต่อกัน ก่อนจะจะบุกไปตีเมืองจันทบุรี เพื่อรวบรวมไพร่พลและจัดตั้งทัพ กลับมากอบกู้เอกราชคืนจากพม่า
 ปัจจุบัน  วัดลุ่มและต้นสะตือเป็นแหล่งเรียนรู้และท่องเที่ยวทางประวัติศาสตร์  
"
ชัยภูมิ,52. เขว้าใหญ่,300 ปี,5 เมตร,30 เมตร,"15.943583, 102.324338","    ต้นเขว้าอายุ ๓๐๐ ปี ต้นนี้ วัดขนาดเส้นรอบวงได้ ๕ เมตร ความสูง ๓๐ เมตร ตั้งอยู่ภายในโรงเรียนบ้านคอนสวรรค์ จังหวัดชัยภูมิ
 จากหลักฐานทางโบราณคดีประกอบกับข้อมูลประวัติศาสตร์ท้องถิ่น สันนิษฐานว่าในอดีตพื้นที่อำเภอคอนสวรรค์เป็นเมืองโบราณ ชื่อ“นครกาหลง” ซึ่งพบว่ามีอายุมาตั้งแต่สมัยทวารวดี โดยมีพระยาขุนหาญ ได้อพยพผู้คนมาจากทางแถบนครราชสีมาแล้วมาตั้งถิ่นฐานในบริเวณนี้ขึ้น  ต้นเขว้าต้นนี้อยู่ในบริเวณดังกล่าว  และมีอายุประมาณ ๓๐๐ ปี
ปัจจุบันตัวโรงเรียนตั้งอยู่ในเขตโบราณสถานบ้านโนนกู่ ดังนั้น ทั้งหลักฐานทางโบราณคดีและต้นเขว้าอายุเก่าแก่ดังกล่าว จึงได้รับการดูแลรักษาเพื่อพัฒนาให้เป็นแหล่งเรียนรู้ทางประวัติศาสตร์ของชุมชน  เช่นเดียวกับต้นเขว้า จะได้รับการดูแลรักษาเพื่อการเรียนรู้เรื่องสิ่งแวดล้อม
"
มหาสารคาม,53. งิ้วผาใหญ่,180 ปี,5 เมตร,40 เมตร,"15.921185, 102.998547","ภายในบริเวณโรงเรียนบ้านหนองคูขาด  อำเภอบรมือ  จังหวัดมหาสารคาม มีต้นงิ้วผาหรืองิ้วป่า ยืนต้นสูงสูงเด่นถึง ๔๐ เมตร ทำให้สังเกตเห็นได้ง่ายตั้งแต่ระยะไกล วัดขนาดเส้นรอบวงได้ ๕ เมตร อายุ ๑๘๐ ปี   เป็นต้นไม้ได้รับรางวัลชนะเลิศจากการประกวดต้นไม้ใหญ่ของจังหวัดมหาสารคาม
 จากข้อมูลประวัติศาสตร์ท้องถิ่นของชุมชน พบว่า ต้นงิ้วผาหรืองิ้วป่าต้นนี้ ตั้งอยู่ในพื้นที่ซึ่งเดิมเป็นบ้านหนองคูใหญ่ ต่อมาเกิดโรคระบาดจึงได้มีการอพยพโยกย้ายราษฎรไปอยู่ที่อื่น ภายหลังค่อยเกิดเป็นชุมชนคุ้มบ้านโนนขึ้นและกลายเป็นที่ตั้งของโรงเรียนบ้านหนองคูขาด ในปี พ.ศ.๒๔๘๕ ในอดีตพื้นที่นี้มีต้นงิ้วผาขึ้นเป็นคู่ ต่อมาชาวบ้านมีมติให้ตัดต้นงิ้วผา ๑ ต้น เพื่อนำไม้ไปทำหีบศพของหลวงพ่อโลน และเมื่อปี พ.ศ. ๒๕๓๙ จึงเหลือแต่ต้นงิ้วผาใหญ่ต้นเดียว
 ปัจจุบัน  ได้รับการดูแลรักษาโดยโรงเรียนบ้านหนองคูขาด  ซึ่งอาจพัฒนาเป็นแหล่งท่องเที่ยวในอนาคต 
"
อำนาจเจริญ,54. ตะแบกโบราณ,100 ปี,6 เมตร,30 เมตร,"15.681366, 104.689584","ต้นตะแบกหรือต้นเปือยโบราณ  ที่ยืนต้นตรงสูงตระหง่านต้นนี้เป็นไม้พื้นถิ่นขนาดใหญ่ที่อยู่ภายในบริเวณดอนปู่ตา บ้านเปือย อำเภอลืออำนาจ จังหวัดอำนาจเจริญ มีอายุได้ ๑๐๐ ปี วัดเส้นรอบวงได้ ๖ เมตร และความสูง ๓๐ เมตร สง่างามอยู่คู่ชุมชนมายาวนานจนเป็นที่มาของชื่อบ้านนามเมืองว่า “บ้านเปือย” 
 ต้นเปือยหรือตะแบกต้นนี้ เกิดในท้องถิ่นตามธรรมชาติมาแต่สมัยโบราณ  เพราะชุมชนดอนปู่ตานี้สันนิษฐานว่าในอดีตน่าจะเป็นที่ตั้งของชุมชนโบราณ เพราะมีการขุดค้นพบเสมาหินทรายสมัยทวารวดี
เป็นจำนวนมาก ในขณะเดียวกันก็มีต้นเปือยขึ้นอยู่มากในบริเวณนี้ด้วย  ต่อมาในยุคหลังเมื่อมีการสร้างบ้านแปงเมือง  ตั้งถิ่นฐานเป็นชุมชนขนาดใหญ่ จึงได้นำเอาชื่อต้นเปือยตามภาษาท้องถิ่นมาตั้งเป็นชื่อหมู่บ้าน
 ปัจจุบัน  ต้นเปือยอยู่ในความดูแลของชุมชน  
"
อุดรธานี,55. ป่าคำชะโนด,"2,000 ปี",ไม่ระบุ,30 เมตร,"17.743323, 103.358882","บนพื้นที่ราว ๒๐ ไร่ ณ ตำบลวังทอง อำเภอบ้านดุง จังหวัดอุดรธานี คือ ที่ตั้งของ ป่าคำชะโนด  ดินแดนศักดิ์สิทธิ์ตำนานพญานาค “ปู่ศรีสุทโธ” ศูนย์รวมจิดใจและศรัทธาของชาวอำเภอบ้านดุง   คำชะโนด ในภาษาถิ่นคือ พื้นที่ที่มีน้ำซับไม่เคยเหือดแห้ง มีลักษณะเป็นเกาะลอยอยู่บนน้ำ  ภายในมีสภาพเป็นป่าพรุดิบชื้น  มีต้นชะโนด (ลักษณะคล้ายต้นตาลผสมต้นมะพร้าวและต้นหมาก) พืชที่หายาก 
ขึ้นอยู่หนาแน่น อายุกว่า ๒,๐๐๐ ปี สูงราว ๓๐ เมตร ร.ศ.ฤดีมล  ปรีดีสนิท  นักวิชาการผู้ศึกษาวิจัยเกาะคำชะโนด กล่าวว่า “รากของต้นชะโนดที่แผ่ออกไปในแนวนอนทำหน้าที่เกาะเกี่ยวกันช่วยพยุงเกาะแห่งนี้ให้ลอยน้ำได้” ส่วนพื้นดินมีสีดำเปียกชื้นตลอดเวลา มีเฟิร์นขึ้นปกคลุมหนาทึบแดดแทบจะไม่ส่องถึงพื้น  และยังมีต้นไม้ใหญ่กับต้นไม้เล็กขึ้นแซมหลายชนิด  คำชะโนดนับว่าเป็นป่าดึกดำบรรพ์ผืนสุดท้ายของประเทศไทยที่ยังคงมีความอุดมสมบูรณ์  
 ตามตำนานท้องถิ่นเชื่อกันว่า ป่าคำชะโนดเป็นป่าอันศักดิ์สิทธิ์ที่เกี่ยวเนื่องกับพญานาค ๒ องค์ คือพญานาคศรีสุทโธและพญาสุวรรณนาค ผู้เป็นเพื่อนสนิท ซึ่งต่อมาเกิดเรื่องทะเลาะกันจนพระอินทร์ต้องเสด็จลงไปห้ามทัพ โดยให้สร้างแม่น้ำแข่งกันคนละสาย สรุปว่าพญานาคศรีสุทโธชนะ จึงได้ทูลขอทางขึ้นลงระหว่างบาดาลและโลกมนุษย์เอาไว้ ๓ แห่ง หนึ่งในนั้นคือ พรหมประกายโลกหรือป่าชะโนดในปัจจุบัน พระอินทร์ทรงอนุญาตให้ไปตั้งบ้านเมืองพร้อมบริวาร โดยให้นำต้นชะโนดไปปลูกไว้เป็นสัญลักษณ์ของพรหมประกายโลก 
     ปัจจุบัน ชาวบ้านยังคงเชื่อมั่นและศรัทธาความศักดิ์สิทธิ์ของป่าคำชะโนดไม่เสื่อมคลาย นอกจากนี้ยังได้ร่วมกันดำเนินการการอนุรักษ์เพื่อฟื้นฟูรักษาสภาพป่าแห่งนี้ให้คงอยู่อย่างยั่งยืนสืบไป
"
อุบลราชธานี,56. หว้าน้ำคู่รัก,300 ปี,ไม่ระบุ,ไม่ระบุ,"16.005602, 105.419723","ต้นหว้า หรือ หมากหว้าน้ำ สองต้นยืนโดดเด่นเคียงกันกว่า ๓๐๐ ปี ณ ลานหินทราย ริมฝั่งโขง บ้านลาดเจริญ ตำบลนาแวง อำเภอเขมราฐ จังหวัดอุบลราชธานี สร้างปรากฏการณ์ “ความรักอมตะหมากหว้าน้ำ”
สุดประทับใจ 
ข้อมูลจากชุมชนบ้านลาดเจริญ ระบุว่า ต้นหว้าคู่นี้ปกติจะจมอยู่ใต้ผืนน้ำในช่วงฤดูน้ำหลากกว่าแปดเดือน ต่อเมื่อถึงฤดูแล้งหรือช่วงน้ำลด ก็จะปรากฏขึ้นมาให้เห็นลำต้นอวบคดโค้ง แตกกิ่งใบเป็นพุ่มเขียวงอกงามมาบรรจบกัน มองดูคล้ายซุ้มรูปหัวใจ และผลิใบออกดอกและออกผลในช่วงเดือนมีนาคม - เมษายน ด้วยความงดงามของรูปทรงและการยืนหยัดผ่านฤดูกาลต่างๆ ร่วมกันมายาวนาน ทำให้ต้นหว้าคู่นี้เป็นสัญลักษณ์แห่งความรักและมักจะมีคนมาขอพรอยู่เสมอ 
ปัจจุบันชุมชนบ้านลาดเจริญได้ปักหมุดให้เป็นปลายทางของการท่องเที่ยวที่สำคัญ โดยในช่วงปลายเดือนมีนาคมจะนำนักท่องเที่ยวหรือผู้มาเยือนเดินบนโขดหินทรายริมน้ำเพื่อสัมผัสภูมิทัศน์ที่สวยงามโดยรอบและความรักอมตะของหมากหว้าน้ำคู่นี้ 
"
ชุมพร,57. ทุเรียนแม่มนต์,200 ปี,4.12 เมตร,30 เมตร,"9.954971,99.078290","“ทุเรียน”ได้ชื่อว่าเป็นราชาของผลไม้ และต้นก็ไม่สูงใหญ่มากนัก  เพราะเป็นต้นไม้ปลูกในสวน ดังนั้นการพบ“แม่มนต์” ทุเรียนพันธุ์พื้นบ้าน อายุกว่า ๒๐๐ ปี มีขนาดเส้นรอบวง ๔.๑๒ เมตร และสูง ๓๐ เมตร แถมมีเนื้อสีเหลือง กลิ่นหอมหวาน จึงเป็นเรื่องน่าอัศจรรย์ใจ  
“แม่มนต์” อยู่ใน “สวน ๒๐๐ ปี ณ อำเภอหลังสวน จังหวัดชุมพร ของลุงสำเริง รัชเวทย์ซึ่งเป็นทายาทผู้ดูแลสวนรุ่นที่ ๔ ของตระกูล เล่าว่า คุณทวดชื่อ “ขุนสวัสดิ์”และ “ทวดนาค” ได้ปลูกทุเรียนและผลไม้อื่นๆ ไว้ตั้งแต่รัชกาลที่ ๑ ประมาณปี พ.ศ.๒๓๒๕ แม่มนต์ปลูกในยุคแรกของการสร้างสวน  ตลอดระยะเวลาที่ผ่านมาเจอพายุ น้ำท่วม นักครั้งไม่ถ้วน 
ปัจจุบัน ลำต้นยังคงแข็งแรง ออกดอกออกผลสมบูรณ์ดีทุกปี 
"
ตรัง,58. ยางพาราต้นแรกของประเทศไทย,116 ปี,2 เมตร,20 เมตร,"7.409553, 99.522803","ริมถนนก่อนเข้าสู่ตัวเมืองอำเภอกันตัง มียางพาราต้นใหญ่ ขนาดเส้นรอบวง ๒ เมตร และสูง ๒๐ เมตร อายุกว่า ๑๑๖ ปี เห็นโดดเด่นเป็นสง่า เป็น “ยางพาราต้นแรกของประเทศไทย”ที่คอยต้อนรับและสร้างความประทับใจแรกแก่แขกบ้านแขกเมืองผู้มาเยือน 
 ข้อมูลจากเทศบาลอำเภอกันตัง ระบุว่า เมื่อครั้งพระยารัษฎานุประดิษฐ์มหิศรภักดีเดินทางไปดูงานในประเทศมลายู เห็นชาวมลายูปลูกยางกันมีผลดีมากก็เกิดความสนใจที่จะนำยางเข้ามาปลูกในประเทศไทยบ้าง แต่รัฐบาลอังกฤษซึ่งยึดครองมลายูขณะนั้นไม่อนุญาต ต่อมาในพ.ศ. ๒๔๔๔ พระสถลสถานพิทักษ์ ซึ่งได้เดินทางไปดูงานที่อินโดนีเซีย สามารถนำกล้ายางกลับมาได้จึงนำกล้ายางต้นแรกไปปลูกที่บ้านพัก ที่อำเภอกันตัง จังหวัดตรัง ต้นยางเจริญเติบโตดี การปลูกจึงขยายกว้างขวางมากขึ้น พระยารัษฎานุประดิษฐ์ ฯ จึงจัดให้ข้าราชการไปเรียนวิชาปลูกยางเพื่อนำไปถ่ายทอดให้ชาวบ้านรู้จักปลูก รู้จักทำสวนยางบ้าง และได้นำพันธุ์ยางดี ๆ ไปแจกจ่ายให้คนใต้รู้จักปลูกยางกันแพร่หลายจนทำให้ท่านได้รับการยกย่องว่าเป็นบิดายางพาราของไทยมาจนทุกวันนี้
 ปัจจุบัน ยางพาราต้นแรกของประเทศไทยอยู่ในความดูแลของเทศบาลอำเภอกันตัง  
"
ตรัง,59. ท้ายเภายักษ์ใหญ่,ไม่ระบุ,20 เมตร,40 เมตร,"7.294136,99.880595","นักท่องเที่ยวจะลัดเลาะจากทางขึ้นน้ำตกหนานตอ สู่เส้นทางขึ้นเขาเจ็ดยอด จังหวัดตรัง ผ่านป่าน้อยใหญ่เขียวชอุ่ม ประมาณ ๒ - ๓ ชั่วโมงเพื่อไปเยือน “ต้นท้ายเภา” ต้นไม้ใหญ่อายุหลายร้อยปี ลำต้นชะลูด ตั้งตรง แตกกิ่งก้านรอบต้นเป็นชั้น เปลือกหยาบ  เส้นรอบวงกว่า ๒๐ เมตร และความสูง ๔๐ เมตร  โคนต้นมีพูพอนหรือรากมหัศจรรย์เป็นปีกค้ำยันสูงกว่า ๒ เมตร ได้รับการขนานนามว่า “ต้นไม้ยักษ์ใหญ่แห่งป่าดิบชื้นทางภาคใต้” 
ข้อมูลจากเขตหน่วยพิทักษ์ป่าโตนเต๊ะ อำเภอปะเหลียน จังหวัดตรัง ระบุว่า ต้นท้ายเภาเกิดขึ้นและเติบโตขึ้นตามธรรมชาติในป่าดงดิบ เป็นต้นไม้ที่หาชมได้ยากและเสี่ยงต่อการสูญพันธุ์   มีแนวโน้มว่าอาจจะสูญพันธุ์ได้
 ปัจจุบัน อยู่ในความดูแลของหน่วยพิทักษ์ป่าโตนเต๊ะ 

"
ปัตตานี,60. จำปาดะถวาย,150 ปี,5 เมตร,30 เมตร,"6.714768, 101.620817","ต้นจำปาดะ ต้นนี้ มีความสมบูรณ์พร้อม ขนาดเส้นรอบวง ๕ คนโอบ ความสูง ๓๐ เมตร อายุกว่า ๑๕๐ ปี ออกผลทุก ๆ ปี ยืนต้นอยู่ในสวนของนายวาเด็ง ปูเต๊ะ “พระสหายแห่งสายบุรี” ของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช  ณ บ้านทุ่งเค็จ ต.ปะเสยะวอ อ.สายบุรี จ.ปัตตานี
 นายวาเด็ง ปูเต๊ะรักและดูแลต้นจำปาดะต้นนี้เป็นอย่างดี เมื่อมีผลผลิต จะคัดเลือกผลที่ดีและสมบูรณ์ที่สุดจำนวน ๒๐ ผล เพื่อส่งถวายเข้าวัง เป็นประจำทุกปี  จำปาดะ เป็นไม้ผลที่นิยมในภาคใต้ จัดอยู่ในวงศ์เดียวกับสาเกและขนุน ผลจำปาดะมีกลิ่นเฉพาะตัว สามารถทำอาหารได้หลากหลาย ทั้งกินเป็นผลไม้สด ชุบแป้ง 
ปัจจุบันแม้นายวาเด็ง ปูเต๊ะ จะเสียชีวิตไปแล้วแต่ทายาทยังคงสานต่อเจตนารมณ์ของนายวาเด็งในการแสดงความจงรักภักดีและสำนึกในพระมหากรุณาธิคุณของพระบาทสมเด็จพระเจ้าอยู่หัวพระปรมินทรมหาภูมิพลอดุลยเดช ที่ทรงมีต่อครอบครัวปูเต๊ะ อย่างหาที่สุดมิได้
"
พังงา,61. กลุ่มต้นเทพทาโรมงคล,80  ปี,2.60 เมตร,30 เมตร,"8.390483, 98.259344","ในพื้นที่วัดนิโรธรังสี ตำบลท้ายเหมือง จังหวัดพังงา เขียวครึ้มไปด้วยต้น “เทพทาโร”ใหญ่น้อยจำนวนมาก  ต้นที่มีขนาดใหญ่ที่สุด วัดขนาดเส้นรอบวงได้ ๒.๖๐ เมตร ความสูง ๓๐ เมตร อายุกว่า ๘๐ ปี เป็นไม้หอมที่มีคุณค่าทางเศรษฐกิจ และเป็นพันธุ์ไม้มงคลพระราชทานประจำจังหวัดพังงา  
 ข้อมูลจากวัดระบุว่า ต้นเทพทาโรเป็นต้นไม้ที่อยู่คู่กับวัดมาโดยตลอด มีทั้งที่เกิดขึ้นเองตามธรรมชาติ 
และพระอาจารย์ สะอื้น จารุวังโส เจ้าอาวาสวัด ได้เพาะปลูกเพิ่มเติมขึ้นภายหลังบางส่วน โดยในช่วงปลายเดือน กุมภาพันธ์ ถึงเดือน เมษายน วัดจะเก็บผลมาทำเป็นน้ำมันไว้แจกจ่ายแก่ญาติโยมที่ได้ไปไหว้พระ ทำบุญ ศึกษาปฏิบัติธรรม หรือเยี่ยมชมสวนไม้เทพทาโร
 ปัจจุบัน ต้นเทพทาโรเหล่านี้อยู่ในความดูแลของวัดนิโรธรังสี 
"
ระนอง,62. กลุ่มต้นโกงกางใบเล็กยักษ์,ไม่ระบุ,2.10 เมตร,33 เมตร,"9.875474, 98.604595","โกงกางใบเล็กยักษ์ต้นนี้  อยู่ในเขตแกนกลาง (core area) ของพื้นที่สงวนชีวมณฑลระนอง (Ranong Biosphere Reserve) ในความรับผิดชอบของศูนย์วิจัยป่าชายเลนระนอง เขตบ้านหาดทรายขาว ตำบลหงาว จังหวัดระนอง  วัดขนาดเส้นรอบวงได้ ๒.๑๐ เมตร และความสูง ๓๓ เมตร ลำต้นสูงใหญ่ แข็งแรงมั่นคงด้วยมีรากค้ำยันแตกแขนงมากมาย  นับเป็นโกงกางใบเล็กต้นใหญ่ที่สุดในประเทศไทย 
ป่าชายเลนแห่งนี้ สมเด็จพระเทพรัตนราชสุดา ฯ สยามบรมราชกุมารี เคยเสด็จฯ และทรงงานด้านระบบนิเวศป่าชายเลน เมื่อปี พ.ศ. ๒๕๓๙ และด้วยป่าชายเลนแห่งนี้มีความสมบูรณ์มากที่สุดแห่งหนึ่งของประเทศไทยและของภูมิภาคเอเชียแปซิฟิค จึงได้รับยกย่องจากองค์การ UNESCO ประกาศให้เป็น ""พื้นที่สงวนชีวมณฑล"" เมื่อปี พ.ศ.๒๕๔๐
ปัจจุบัน ได้มีการจัดทำเส้นทางศึกษาธรรมชาติระยะทางราว ๒ กิโลเมตรให้ผู้สนใจได้เรียนรู้ระบบนิเวศของป่าชายเลนแห่งนี้ด้วย
"
สงขลา,63. สะเดาเทียมยักษ์,200 ปี,5 เมตร,20 เมตร,"6.740727, 100.597091","ณ บ้านปลายคลอง หมู่  ๖ ตำบลคลองทราย จังหวัดสงขลา มีต้นสะเดาเทียมต้นหนึ่งขึ้นตามธรรมชาติ ลำต้นสูงตรง เปลือกแตกเป็นแผ่นล่อน สีเทาปนดำ มีอายุกว่า ๒๐๐ ปี ลำต้นสูงใหญ่กว่า ๒๐ เมตร ขนาดเส้นรอบวง ๕ เมตร ชาวบ้านต่างเรียกว่า “ต้นสะเดาเทียมยักษ์”  เป็นศูนย์รวมใจรวมศรัทธาของชุมชน เพราะชาวบ้านเชื่อว่ามีสิ่งศักดิ์สิทธิ์สถิตอยู่
 ข้อมูลจากองค์การบริหารส่วนตำบลคลองทราย ระบุว่า สะเดาเทียมยังเป็นพันธุ์ไม้มงคลพระราชทานประจำจังหวัดสงขลา สมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ ในพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช ได้พระราชทานให้กับผู้ว่าราชการจังหวัด นำไปปลูกเป็นสิริมงคลและรณรงค์ให้ประชาชนปลูกต้นไม้ในโครงการปลูกป่าถาวรเฉลิมพระเกียรติ เนื่องในวโรกาสที่ทรงครองสิริราชสมบัติครบ ๕๐ ปี
 ปัจจุบัน สะเดาเทียมยักษ์ต้นนี้อยู่ในความดูแลขององค์การบริหารส่วนตำบลคลองทราย จังหวัดสงขลา

"
กรุงเทพมหานคร,64. สวนลิ้นจี่โบราณ,100 ปี,ไม่ระบุ,20 เมตร,"13.686238, 100.468110","ในแขวงบางค้อ แขวงบางขุนเทียนและแขวงจอมทองในพื้นที่เขตจอมทอง  กรุงเทพมหานคร มีการปลูกลิ้นจี่กันมานานแล้ว และเป็นลิ้นจี่ที่ปลูกด้วยเมล็ด  ต้นจึงแข็งแรง อายุยืน ในสวนของป้าบังอร เงินชูกลิ่น ซึ่งมีหลักฐานว่าถือโฉนดที่ดินโบราณ สมัยรัชกาลที่ ๕  ตั้งแต่เมื่อปี พ.ศ. ๒๔๒๔  มีลิ้นจี่ต้นใหญ่และอายุมาก คืออายุเกินกว่า ๑๐๐ ปี  มีขนาดต้นสูงประมาณ  ๒๐ เมตร  นับเป็นลิ้นจี้ต้นที่ใหญ่ที่สุดเท่าที่เคยได้ยินมา
สันนิษฐานว่ามีการนำเข้าลิ้นจี่มาปลูกในแผ่นดินไทยครั้งแรกในสมัยพระบาทสมเด็จพระพุทธเลิศหล้านภาลัย  ต่อมาในปี พ.ศ. ๒๓๙๗ ตรงกับช่วงต้นรัชกาลที่ ๔ ในบันทึกจดหมายเหตุของสังฆราชปัลเลอกัวซ์         มีการระบุแหล่งที่มีการปลูกลิ้นจี่ในกรุงเทพมหานครอย่างหนาแน่น เรียกกันว่า “คุ้งลิ้นจี่” แต่ในปัจจุบันเหลือพื้นที่ปลูกเพียงเขตจอมทองเท่านั้น
ปัจจุบัน สวนลิ้นจี่โบราณยังมีอยู่ในเขตจอมทอง  อันเป็นพื้นที่ของเอกชน 
"
